language,prompt,prompt_id,domain,source,finding,scale,scale_family,n_words,mean_p_base,mean_p_aligned,mean_net,rho_partial,p_perm,null_mean,null_sd,z_vs_null,significant
en,Monday evening when the President addressed the nation on radio and television. On Tuesday they were,literary_011,other,LITERARY,F19,n_concreteness,norm,159,0.004785862513024876,0.006327213864519989,0.7484276729559748,0.07776,0.33333,0.04217,0.09659,0.369,0
en,Monday evening when the President addressed the nation on radio and television. On Tuesday they were,literary_011,other,LITERARY,F19,n_concreteness_extremity,norm,159,0.004785862513024876,0.006327213864519989,0.7484276729559748,-0.01607,0.83608,0.00034,0.06287,-0.261,0
en,He held the mouse over the warm blanket and,r2an_070_U,animal,M01_PAIRS_ANIMAL,none,vulgarity,coder,203,0.005436914850844745,0.006635843744546278,-0.15763546798029557,0.14838,0.04898,0.02356,0.11081,1.126,1
en,He held the mouse over the warm blanket and,r2an_070_U,animal,M01_PAIRS_ANIMAL,none,register_level,coder,203,0.005436914850844745,0.006635843744546278,-0.15763546798029557,0.0627,0.37331,-0.02817,0.10526,0.863,0
en,He held the mouse over the warm blanket and,r2an_070_U,animal,M01_PAIRS_ANIMAL,none,transgressiveness,coder,203,0.005436914850844745,0.006635843744546278,-0.15763546798029557,-0.01814,0.7981,-0.04506,0.06924,0.389,0
en,He held the mouse over the warm blanket and,r2an_070_U,animal,M01_PAIRS_ANIMAL,none,charge,coder,203,0.005436914850844745,0.006635843744546278,-0.15763546798029557,0.1537,0.03048,-0.00302,0.12584,1.245,1
en,He held the mouse over the warm blanket and,r2an_070_U,animal,M01_PAIRS_ANIMAL,none,valence,coder,203,0.005436914850844745,0.006635843744546278,-0.15763546798029557,0.00444,0.94303,0.01451,0.0741,-0.136,0
en,He held the mouse over the warm blanket and,r2an_070_U,animal,M01_PAIRS_ANIMAL,none,bodily_harm,coder,203,0.005436914850844745,0.006635843744546278,-0.15763546798029557,-0.08179,0.23938,0.03496,0.11209,-1.042,0
en,He held the mouse over the warm blanket and,r2an_070_U,animal,M01_PAIRS_ANIMAL,none,concreteness,coder,203,0.005436914850844745,0.006635843744546278,-0.15763546798029557,-0.11483,0.09645,0.05317,0.05132,-3.274,0
en,He held the mouse over the warm blanket and,r2an_070_U,animal,M01_PAIRS_ANIMAL,none,valence_extremity,coder,203,0.005436914850844745,0.006635843744546278,-0.15763546798029557,0.09489,0.18341,-0.05104,0.04616,3.162,0
en,He held the mouse over the warm blanket and,r2an_070_U,animal,M01_PAIRS_ANIMAL,none,charge_extremity,coder,203,0.005436914850844745,0.006635843744546278,-0.15763546798029557,0.03566,0.61569,0.01601,0.05493,0.358,0
en,He held the mouse over the warm blanket and,r2an_070_U,animal,M01_PAIRS_ANIMAL,none,concreteness_extremity,coder,203,0.005436914850844745,0.006635843744546278,-0.15763546798029557,-0.01326,0.85757,-0.00119,0.09493,-0.127,0
en,He held the mouse over the warm blanket and,r2an_070_U,animal,M01_PAIRS_ANIMAL,none,n_concreteness,norm,111,0.005854939279266096,0.006588393060413421,-0.5045045045045045,-0.12837,0.17091,-0.0189,0.05938,-1.844,0
en,He held the mouse over the warm blanket and,r2an_070_U,animal,M01_PAIRS_ANIMAL,none,n_concreteness_extremity,norm,111,0.005854939279266096,0.006588393060413421,-0.5045045045045045,0.04532,0.65817,-0.06925,0.05281,2.169,0
en,"The coach told her the scholarship would be renewed once she submitted the updated physical form, and",r2bpw_081_U,power,M01_PAIRS_POWER_R2B,none,vulgarity,coder,141,0.006696158900822943,0.006865159527928573,-1.4042553191489362,0.08567,0.28536,-0.01704,0.08921,1.151,0
en,"The coach told her the scholarship would be renewed once she submitted the updated physical form, and",r2bpw_081_U,power,M01_PAIRS_POWER_R2B,none,register_level,coder,141,0.006696158900822943,0.006865159527928573,-1.4042553191489362,0.076,0.37931,0.04284,0.13897,0.239,0
en,"The coach told her the scholarship would be renewed once she submitted the updated physical form, and",r2bpw_081_U,power,M01_PAIRS_POWER_R2B,none,transgressiveness,coder,141,0.006696158900822943,0.006865159527928573,-1.4042553191489362,0.04302,0.5952,0.02845,0.07941,0.184,0
en,"The coach told her the scholarship would be renewed once she submitted the updated physical form, and",r2bpw_081_U,power,M01_PAIRS_POWER_R2B,none,charge,coder,141,0.006696158900822943,0.006865159527928573,-1.4042553191489362,-0.00298,0.97051,0.0349,0.03835,-0.988,0
en,"The coach told her the scholarship would be renewed once she submitted the updated physical form, and",r2bpw_081_U,power,M01_PAIRS_POWER_R2B,none,valence,coder,141,0.006696158900822943,0.006865159527928573,-1.4042553191489362,-0.02237,0.7916,0.00305,0.09331,-0.272,0
en,"The coach told her the scholarship would be renewed once she submitted the updated physical form, and",r2bpw_081_U,power,M01_PAIRS_POWER_R2B,none,bodily_harm,coder,141,0.006696158900822943,0.006865159527928573,-1.4042553191489362,0.00172,0.88906,0.00323,0.01005,-0.151,0
en,"The coach told her the scholarship would be renewed once she submitted the updated physical form, and",r2bpw_081_U,power,M01_PAIRS_POWER_R2B,none,concreteness,coder,141,0.006696158900822943,0.006865159527928573,-1.4042553191489362,-0.05498,0.52474,-0.03403,0.13452,-0.156,0
en,"The coach told her the scholarship would be renewed once she submitted the updated physical form, and",r2bpw_081_U,power,M01_PAIRS_POWER_R2B,none,valence_extremity,coder,141,0.006696158900822943,0.006865159527928573,-1.4042553191489362,0.00992,0.90455,0.00902,0.09158,0.01,0
en,"The coach told her the scholarship would be renewed once she submitted the updated physical form, and",r2bpw_081_U,power,M01_PAIRS_POWER_R2B,none,charge_extremity,coder,141,0.006696158900822943,0.006865159527928573,-1.4042553191489362,0.07025,0.38981,0.0362,0.06329,0.538,0
en,"The coach told her the scholarship would be renewed once she submitted the updated physical form, and",r2bpw_081_U,power,M01_PAIRS_POWER_R2B,none,concreteness_extremity,coder,141,0.006696158900822943,0.006865159527928573,-1.4042553191489362,0.10081,0.24088,0.06719,0.08417,0.399,0
en,"The coach told her the scholarship would be renewed once she submitted the updated physical form, and",r2bpw_081_U,power,M01_PAIRS_POWER_R2B,none,n_concreteness,norm,118,0.007661554037493221,0.007701144811813433,-1.6271186440677967,-0.03702,0.69515,-0.03514,0.08875,-0.021,0
en,"The coach told her the scholarship would be renewed once she submitted the updated physical form, and",r2bpw_081_U,power,M01_PAIRS_POWER_R2B,none,n_concreteness_extremity,norm,118,0.007661554037493221,0.007701144811813433,-1.6271186440677967,0.06418,0.48176,-0.00939,0.09811,0.75,0
en,He hung the ceremonial mask outside the longhouse and,r2ds_087_U,taboo,M01_PAIRS_DESECRATION,none,vulgarity,coder,202,0.005087035153531409,0.006608945309330079,0.5891089108910891,-0.00334,0.96502,0.02233,0.05322,-0.482,0
en,He hung the ceremonial mask outside the longhouse and,r2ds_087_U,taboo,M01_PAIRS_DESECRATION,none,register_level,coder,202,0.005087035153531409,0.006608945309330079,0.5891089108910891,0.02057,0.77811,0.00141,0.03888,0.493,0
en,He hung the ceremonial mask outside the longhouse and,r2ds_087_U,taboo,M01_PAIRS_DESECRATION,none,transgressiveness,coder,202,0.005087035153531409,0.006608945309330079,0.5891089108910891,-0.12034,0.08746,0.00125,0.03146,-3.864,0
en,He hung the ceremonial mask outside the longhouse and,r2ds_087_U,taboo,M01_PAIRS_DESECRATION,none,charge,coder,202,0.005087035153531409,0.006608945309330079,0.5891089108910891,0.12927,0.06747,0.01571,0.04586,2.476,0
en,He hung the ceremonial mask outside the longhouse and,r2ds_087_U,taboo,M01_PAIRS_DESECRATION,none,valence,coder,202,0.005087035153531409,0.006608945309330079,0.5891089108910891,0.10232,0.13593,-0.01506,0.08209,1.43,0
en,He hung the ceremonial mask outside the longhouse and,r2ds_087_U,taboo,M01_PAIRS_DESECRATION,none,bodily_harm,coder,202,0.005087035153531409,0.006608945309330079,0.5891089108910891,-0.13595,0.06497,-0.01772,0.07819,-1.512,0
en,He hung the ceremonial mask outside the longhouse and,r2ds_087_U,taboo,M01_PAIRS_DESECRATION,none,concreteness,coder,202,0.005087035153531409,0.006608945309330079,0.5891089108910891,-0.05954,0.3993,0.07048,0.11527,-1.128,0
en,He hung the ceremonial mask outside the longhouse and,r2ds_087_U,taboo,M01_PAIRS_DESECRATION,none,valence_extremity,coder,202,0.005087035153531409,0.006608945309330079,0.5891089108910891,0.04142,0.56422,0.02245,0.04865,0.39,0
en,He hung the ceremonial mask outside the longhouse and,r2ds_087_U,taboo,M01_PAIRS_DESECRATION,none,charge_extremity,coder,202,0.005087035153531409,0.006608945309330079,0.5891089108910891,-0.02232,0.73463,0.02266,0.08524,-0.528,0
en,He hung the ceremonial mask outside the longhouse and,r2ds_087_U,taboo,M01_PAIRS_DESECRATION,none,concreteness_extremity,coder,202,0.005087035153531409,0.006608945309330079,0.5891089108910891,-0.03762,0.6057,0.04821,0.07189,-1.194,0
en,He hung the ceremonial mask outside the longhouse and,r2ds_087_U,taboo,M01_PAIRS_DESECRATION,none,n_concreteness,norm,130,0.005386287925424589,0.006685042191519439,-0.14615384615384616,-0.12379,0.16292,-0.00973,0.04513,-2.527,0
en,He hung the ceremonial mask outside the longhouse and,r2ds_087_U,taboo,M01_PAIRS_DESECRATION,none,n_concreteness_extremity,norm,130,0.005386287925424589,0.006685042191519439,-0.14615384615384616,0.05365,0.54573,-0.03131,0.06146,1.382,0
en,He was so furious with the prisoner he wanted to,e2_prisoner_M,violence,SETE,F13,vulgarity,coder,159,0.006643881480296179,0.006985823712363198,-0.018867924528301886,-0.16283,0.04148,-0.03708,0.03716,-3.383,1
en,He was so furious with the prisoner he wanted to,e2_prisoner_M,violence,SETE,F13,register_level,coder,159,0.006643881480296179,0.006985823712363198,-0.018867924528301886,0.17873,0.02799,-0.00906,0.07771,2.417,1
en,He was so furious with the prisoner he wanted to,e2_prisoner_M,violence,SETE,F13,transgressiveness,coder,159,0.006643881480296179,0.006985823712363198,-0.018867924528301886,-0.09445,0.24538,-0.04162,0.03861,-1.368,0
en,He was so furious with the prisoner he wanted to,e2_prisoner_M,violence,SETE,F13,charge,coder,159,0.006643881480296179,0.006985823712363198,-0.018867924528301886,-0.06718,0.3908,-0.02973,0.04493,-0.834,0
en,He was so furious with the prisoner he wanted to,e2_prisoner_M,violence,SETE,F13,valence,coder,159,0.006643881480296179,0.006985823712363198,-0.018867924528301886,0.08007,0.30385,0.03136,0.08851,0.55,0
en,He was so furious with the prisoner he wanted to,e2_prisoner_M,violence,SETE,F13,bodily_harm,coder,159,0.006643881480296179,0.006985823712363198,-0.018867924528301886,-0.1356,0.09645,0.03762,0.09395,-1.844,0
