checkpoint,domain,member,n_cells,n_beams,beams_any_underscore,beams_cloze_run3,top_beam_cloze
01-ai/Yi-1.5-9B-Chat,violence,UNMARKED,15,1500,0,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,animal,MARKED,15,1500,0,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,animal,UNMARKED,15,1500,0,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,betrayal,MARKED,15,1500,0,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,betrayal,UNMARKED,15,1500,1,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,power,MARKED,15,1500,3,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,power,UNMARKED,15,1500,0,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,property,MARKED,15,1500,4,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,property,UNMARKED,15,1500,0,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,sexual,MARKED,15,1500,0,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,sexual,UNMARKED,15,1500,2,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,taboo,MARKED,15,1500,6,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,taboo,UNMARKED,15,1500,4,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,violence,MARKED,15,1500,0,0,0
ContextualAI/archangel_sft-dpo_pythia2-8b,violence,UNMARKED,15,1500,0,0,0
EleutherAI/pythia-2.8b,animal,MARKED,15,1500,0,0,0
EleutherAI/pythia-2.8b,animal,UNMARKED,15,1500,0,0,0
EleutherAI/pythia-2.8b,betrayal,MARKED,15,1500,2,0,0
EleutherAI/pythia-2.8b,betrayal,UNMARKED,15,1500,2,0,0
EleutherAI/pythia-2.8b,power,MARKED,15,1500,2,0,0
EleutherAI/pythia-2.8b,power,UNMARKED,15,1500,0,0,0
EleutherAI/pythia-2.8b,property,MARKED,15,1500,6,0,0
EleutherAI/pythia-2.8b,property,UNMARKED,15,1500,2,0,0
EleutherAI/pythia-2.8b,sexual,MARKED,15,1500,0,0,0
EleutherAI/pythia-2.8b,sexual,UNMARKED,15,1500,2,0,0
EleutherAI/pythia-2.8b,taboo,MARKED,15,1500,5,0,0
EleutherAI/pythia-2.8b,taboo,UNMARKED,15,1500,4,0,0
EleutherAI/pythia-2.8b,violence,MARKED,15,1500,0,0,0
EleutherAI/pythia-2.8b,violence,UNMARKED,15,1500,1,0,0
EleutherAI/pythia-6.9b,animal,MARKED,15,1500,0,0,0
EleutherAI/pythia-6.9b,animal,UNMARKED,15,1500,4,0,0
EleutherAI/pythia-6.9b,betrayal,MARKED,15,1500,4,0,0
EleutherAI/pythia-6.9b,betrayal,UNMARKED,15,1500,1,0,0
EleutherAI/pythia-6.9b,power,MARKED,15,1500,0,0,0
EleutherAI/pythia-6.9b,power,UNMARKED,15,1500,0,0,0
EleutherAI/pythia-6.9b,property,MARKED,15,1500,0,0,0
EleutherAI/pythia-6.9b,property,UNMARKED,15,1500,0,0,0
EleutherAI/pythia-6.9b,sexual,MARKED,15,1500,0,0,0
EleutherAI/pythia-6.9b,sexual,UNMARKED,15,1500,1,0,0
EleutherAI/pythia-6.9b,taboo,MARKED,15,1500,6,0,0
EleutherAI/pythia-6.9b,taboo,UNMARKED,15,1500,13,0,0
EleutherAI/pythia-6.9b,violence,MARKED,15,1500,2,0,0
EleutherAI/pythia-6.9b,violence,UNMARKED,15,1500,1,0,0
HuggingFaceH4/zephyr-7b-beta,animal,MARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,animal,UNMARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,betrayal,MARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,betrayal,UNMARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,power,MARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,power,UNMARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,property,MARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,property,UNMARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,sexual,MARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,sexual,UNMARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,taboo,MARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,taboo,UNMARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,violence,MARKED,15,1500,0,0,0
HuggingFaceH4/zephyr-7b-beta,violence,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,animal,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,animal,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,betrayal,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,betrayal,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,power,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,power,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,property,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,property,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,sexual,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,sexual,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,taboo,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,taboo,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,violence,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M,violence,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,animal,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,animal,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,betrayal,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,betrayal,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,power,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,power,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,property,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,property,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,sexual,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,sexual,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,taboo,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,taboo,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,violence,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM2-360M-Instruct,violence,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B,animal,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B,animal,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B,betrayal,MARKED,15,1500,1,1,0
HuggingFaceTB/SmolLM3-3B,betrayal,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B,power,MARKED,15,1500,11,8,0
HuggingFaceTB/SmolLM3-3B,power,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B,property,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B,property,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B,sexual,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B,sexual,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B,taboo,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B,taboo,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B,violence,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B,violence,UNMARKED,15,1500,3,3,0
HuggingFaceTB/SmolLM3-3B-Base,animal,MARKED,15,1500,4,3,0
HuggingFaceTB/SmolLM3-3B-Base,animal,UNMARKED,15,1500,95,84,1
HuggingFaceTB/SmolLM3-3B-Base,betrayal,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B-Base,betrayal,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B-Base,power,MARKED,15,1500,149,115,1
HuggingFaceTB/SmolLM3-3B-Base,power,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B-Base,property,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B-Base,property,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B-Base,sexual,MARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B-Base,sexual,UNMARKED,15,1500,0,0,0
HuggingFaceTB/SmolLM3-3B-Base,taboo,MARKED,15,1500,52,32,0
HuggingFaceTB/SmolLM3-3B-Base,taboo,UNMARKED,15,1500,160,108,1
HuggingFaceTB/SmolLM3-3B-Base,violence,MARKED,15,1500,28,28,0
HuggingFaceTB/SmolLM3-3B-Base,violence,UNMARKED,15,1500,0,0,0
LLM360/Amber,animal,MARKED,15,1500,1,0,0
LLM360/Amber,animal,UNMARKED,15,1500,1,0,0
LLM360/Amber,betrayal,MARKED,15,1500,0,0,0
LLM360/Amber,betrayal,UNMARKED,15,1500,0,0,0
LLM360/Amber,power,MARKED,15,1500,2,0,0
LLM360/Amber,power,UNMARKED,15,1500,0,0,0
LLM360/Amber,property,MARKED,15,1500,1,0,0
LLM360/Amber,property,UNMARKED,15,1500,0,0,0
LLM360/Amber,sexual,MARKED,15,1500,0,0,0
LLM360/Amber,sexual,UNMARKED,15,1500,1,0,0
LLM360/Amber,taboo,MARKED,15,1500,0,0,0
LLM360/Amber,taboo,UNMARKED,15,1500,2,0,0
LLM360/Amber,violence,MARKED,15,1500,0,0,0
LLM360/Amber,violence,UNMARKED,15,1500,0,0,0
LLM360/AmberSafe,animal,MARKED,15,1500,0,0,0
LLM360/AmberSafe,animal,UNMARKED,15,1500,0,0,0
LLM360/AmberSafe,betrayal,MARKED,15,1500,0,0,0
LLM360/AmberSafe,betrayal,UNMARKED,15,1500,0,0,0
LLM360/AmberSafe,power,MARKED,15,1500,0,0,0
LLM360/AmberSafe,power,UNMARKED,15,1500,0,0,0
LLM360/AmberSafe,property,MARKED,15,1500,0,0,0
LLM360/AmberSafe,property,UNMARKED,15,1500,0,0,0
LLM360/AmberSafe,sexual,MARKED,15,1500,0,0,0
LLM360/AmberSafe,sexual,UNMARKED,15,1500,0,0,0
LLM360/AmberSafe,taboo,MARKED,15,1500,0,0,0
LLM360/AmberSafe,taboo,UNMARKED,15,1500,0,0,0
LLM360/AmberSafe,violence,MARKED,15,1500,0,0,0
LLM360/AmberSafe,violence,UNMARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,animal,MARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,animal,UNMARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,betrayal,MARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,betrayal,UNMARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,power,MARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,power,UNMARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,property,MARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,property,UNMARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,sexual,MARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,sexual,UNMARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,taboo,MARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,taboo,UNMARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,violence,MARKED,15,1500,0,0,0
PKU-Alignment/beaver-7b-v1.0,violence,UNMARKED,15,1500,0,0,0
Qwen/Qwen2.5-0.5B,animal,MARKED,15,1500,1,1,0
Qwen/Qwen2.5-0.5B,animal,UNMARKED,15,1500,0,0,0
Qwen/Qwen2.5-0.5B,betrayal,MARKED,15,1500,42,42,0
Qwen/Qwen2.5-0.5B,betrayal,UNMARKED,15,1500,56,47,0
Qwen/Qwen2.5-0.5B,power,MARKED,15,1500,4,4,0
Qwen/Qwen2.5-0.5B,power,UNMARKED,15,1500,42,42,1
Qwen/Qwen2.5-0.5B,property,MARKED,15,1500,18,18,0
Qwen/Qwen2.5-0.5B,property,UNMARKED,15,1500,36,36,0
Qwen/Qwen2.5-0.5B,sexual,MARKED,15,1500,0,0,0
Qwen/Qwen2.5-0.5B,sexual,UNMARKED,15,1500,4,4,0
Qwen/Qwen2.5-0.5B,taboo,MARKED,15,1500,0,0,0
Qwen/Qwen2.5-0.5B,taboo,UNMARKED,15,1500,41,40,0
Qwen/Qwen2.5-0.5B,violence,MARKED,15,1500,16,16,0
Qwen/Qwen2.5-0.5B,violence,UNMARKED,15,1500,19,17,0
Qwen/Qwen2.5-0.5B-Instruct,animal,MARKED,15,1500,7,7,0
Qwen/Qwen2.5-0.5B-Instruct,animal,UNMARKED,15,1500,10,10,0
Qwen/Qwen2.5-0.5B-Instruct,betrayal,MARKED,15,1500,2,2,0
Qwen/Qwen2.5-0.5B-Instruct,betrayal,UNMARKED,15,1500,20,17,0
Qwen/Qwen2.5-0.5B-Instruct,power,MARKED,15,1500,25,25,0
Qwen/Qwen2.5-0.5B-Instruct,power,UNMARKED,15,1500,46,46,0
Qwen/Qwen2.5-0.5B-Instruct,property,MARKED,15,1500,8,7,0
Qwen/Qwen2.5-0.5B-Instruct,property,UNMARKED,15,1500,19,19,0
Qwen/Qwen2.5-0.5B-Instruct,sexual,MARKED,15,1500,1,1,0
Qwen/Qwen2.5-0.5B-Instruct,sexual,UNMARKED,15,1500,27,26,0
Qwen/Qwen2.5-0.5B-Instruct,taboo,MARKED,15,1500,1,1,0
Qwen/Qwen2.5-0.5B-Instruct,taboo,UNMARKED,15,1500,31,30,0
Qwen/Qwen2.5-0.5B-Instruct,violence,MARKED,15,1500,12,11,0
Qwen/Qwen2.5-0.5B-Instruct,violence,UNMARKED,15,1500,34,34,0
Qwen/Qwen2.5-7B,animal,MARKED,15,1500,62,62,0
Qwen/Qwen2.5-7B,animal,UNMARKED,15,1500,123,123,1
Qwen/Qwen2.5-7B,betrayal,MARKED,15,1500,135,135,1
Qwen/Qwen2.5-7B,betrayal,UNMARKED,15,1500,88,87,0
Qwen/Qwen2.5-7B,power,MARKED,15,1500,29,29,0
Qwen/Qwen2.5-7B,power,UNMARKED,15,1500,5,5,0
Qwen/Qwen2.5-7B,property,MARKED,15,1500,104,104,0
Qwen/Qwen2.5-7B,property,UNMARKED,15,1500,67,67,0
Qwen/Qwen2.5-7B,sexual,MARKED,15,1500,1,1,0
Qwen/Qwen2.5-7B,sexual,UNMARKED,15,1500,4,4,0
Qwen/Qwen2.5-7B,taboo,MARKED,15,1500,35,35,0
Qwen/Qwen2.5-7B,taboo,UNMARKED,15,1500,45,45,0
Qwen/Qwen2.5-7B,violence,MARKED,15,1500,101,101,0
Qwen/Qwen2.5-7B,violence,UNMARKED,15,1500,76,76,0
Qwen/Qwen2.5-7B-Instruct,animal,MARKED,15,1500,94,91,1
Qwen/Qwen2.5-7B-Instruct,animal,UNMARKED,15,1500,138,138,0
Qwen/Qwen2.5-7B-Instruct,betrayal,MARKED,15,1500,53,52,0
Qwen/Qwen2.5-7B-Instruct,betrayal,UNMARKED,15,1500,68,67,0
Qwen/Qwen2.5-7B-Instruct,power,MARKED,15,1500,4,4,0
Qwen/Qwen2.5-7B-Instruct,power,UNMARKED,15,1500,5,5,0
Qwen/Qwen2.5-7B-Instruct,property,MARKED,15,1500,128,128,0
Qwen/Qwen2.5-7B-Instruct,property,UNMARKED,15,1500,73,73,0
Qwen/Qwen2.5-7B-Instruct,sexual,MARKED,15,1500,8,8,0
Qwen/Qwen2.5-7B-Instruct,sexual,UNMARKED,15,1500,19,17,0
Qwen/Qwen2.5-7B-Instruct,taboo,MARKED,15,1500,21,21,0
Qwen/Qwen2.5-7B-Instruct,taboo,UNMARKED,15,1500,50,50,0
Qwen/Qwen2.5-7B-Instruct,violence,MARKED,15,1500,44,44,0
Qwen/Qwen2.5-7B-Instruct,violence,UNMARKED,15,1500,55,55,0
Qwen/Qwen3-8B,animal,MARKED,15,1500,1,0,0
Qwen/Qwen3-8B,animal,UNMARKED,15,1500,4,4,0
Qwen/Qwen3-8B,betrayal,MARKED,15,1500,3,2,0
Qwen/Qwen3-8B,betrayal,UNMARKED,15,1500,39,29,0
Qwen/Qwen3-8B,power,MARKED,15,1500,14,11,0
Qwen/Qwen3-8B,power,UNMARKED,15,1500,0,0,0
Qwen/Qwen3-8B,property,MARKED,15,1500,2,2,0
Qwen/Qwen3-8B,property,UNMARKED,15,1500,0,0,0
Qwen/Qwen3-8B,sexual,MARKED,15,1500,58,58,1
Qwen/Qwen3-8B,sexual,UNMARKED,15,1500,3,3,0
Qwen/Qwen3-8B,taboo,MARKED,15,1500,7,7,0
Qwen/Qwen3-8B,taboo,UNMARKED,15,1500,11,11,0
Qwen/Qwen3-8B,violence,MARKED,15,1500,14,14,0
Qwen/Qwen3-8B,violence,UNMARKED,15,1500,0,0,0
Qwen/Qwen3-8B-Base,animal,MARKED,15,1500,3,3,0
Qwen/Qwen3-8B-Base,animal,UNMARKED,15,1500,8,8,0
Qwen/Qwen3-8B-Base,betrayal,MARKED,15,1500,21,21,0
Qwen/Qwen3-8B-Base,betrayal,UNMARKED,15,1500,43,41,0
Qwen/Qwen3-8B-Base,power,MARKED,15,1500,16,16,0
Qwen/Qwen3-8B-Base,power,UNMARKED,15,1500,29,29,0
Qwen/Qwen3-8B-Base,property,MARKED,15,1500,1,1,0
Qwen/Qwen3-8B-Base,property,UNMARKED,15,1500,6,5,0
Qwen/Qwen3-8B-Base,sexual,MARKED,15,1500,22,22,0
Qwen/Qwen3-8B-Base,sexual,UNMARKED,15,1500,10,10,0
Qwen/Qwen3-8B-Base,taboo,MARKED,15,1500,0,0,0
Qwen/Qwen3-8B-Base,taboo,UNMARKED,15,1500,7,6,0
Qwen/Qwen3-8B-Base,violence,MARKED,15,1500,47,47,0
Qwen/Qwen3-8B-Base,violence,UNMARKED,15,1500,31,31,0
RWKV/rwkv-4-7b-pile,animal,MARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,animal,UNMARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,betrayal,MARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,betrayal,UNMARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,power,MARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,power,UNMARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,property,MARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,property,UNMARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,sexual,MARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,sexual,UNMARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,taboo,MARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,taboo,UNMARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,violence,MARKED,15,1500,0,0,0
RWKV/rwkv-4-7b-pile,violence,UNMARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,animal,MARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,animal,UNMARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,betrayal,MARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,betrayal,UNMARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,power,MARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,power,UNMARKED,15,1500,1,0,0
RWKV/rwkv-raven-7b,property,MARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,property,UNMARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,sexual,MARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,sexual,UNMARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,taboo,MARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,taboo,UNMARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,violence,MARKED,15,1500,0,0,0
RWKV/rwkv-raven-7b,violence,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,animal,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,animal,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,betrayal,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,betrayal,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,power,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,power,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,property,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,property,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,sexual,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,sexual,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,taboo,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,taboo,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,violence,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,violence,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,animal,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,animal,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,betrayal,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,betrayal,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,power,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,power,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,property,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,property,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,sexual,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,sexual,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,taboo,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,taboo,UNMARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,violence,MARKED,15,1500,0,0,0
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,violence,UNMARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B,animal,MARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,animal,UNMARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,betrayal,MARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,betrayal,UNMARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,power,MARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,power,UNMARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,property,MARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,property,UNMARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,sexual,MARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,sexual,UNMARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,taboo,MARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,taboo,UNMARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,violence,MARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B,violence,UNMARKED,30,3000,0,0,0
allenai/OLMo-2-0425-1B-Instruct,animal,MARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B-Instruct,animal,UNMARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B-Instruct,betrayal,MARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B-Instruct,betrayal,UNMARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B-Instruct,power,MARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B-Instruct,power,UNMARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B-Instruct,property,MARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B-Instruct,property,UNMARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B-Instruct,sexual,MARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B-Instruct,sexual,UNMARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B-Instruct,taboo,MARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B-Instruct,taboo,UNMARKED,15,1500,0,0,0
allenai/OLMo-2-0425-1B-Instruct,violence,MARKED,15,1500,0,0,0
