lineage,aligned,n_groups,n_passages,top_share,argmax,gap_total,d_final,base_E-QUIZ,aligned_E-QUIZ,d_E-QUIZ,base_E-QA,aligned_E-QA,d_E-QA,base_E-TASK,aligned_E-TASK,d_E-TASK,base_E-ASSIST,aligned_E-ASSIST,d_E-ASSIST,base_E-MENTION,aligned_E-MENTION,d_E-MENTION,base_E-META,aligned_E-META,d_E-META,base_REFUSAL,aligned_REFUSAL,d_REFUSAL,base_ANY-EXIT,aligned_ANY-EXIT,d_ANY-EXIT
allenai/Olmo-3-1025-7B,allenai/Olmo-3-7B-Instruct-DPO,21,2520,0.459176,0.875,1.18996,0.132298,-3.45238,-1.66667,1.78571,-1.07143,-2.14286,-1.07143,-0.47619,1.30952,1.78571,0,-2.97619,-2.97619,0.952381,-0.119048,-1.07143,0.47619,0.833333,0.357143,-0.119048,0,0.119048,0.357143,-3.92857,-4.28571
huggyllama/llama-7b,PKU-Alignment/beaver-7b-v1.0,21,2520,0.318789,0.75,1.26169,0.118875,0.357143,-1.30952,-1.66667,-0.119048,0.238095,0.357143,-0.952381,0.357143,1.30952,0,0,0,0.357143,0.119048,-0.238095,0.119048,0.595238,0.47619,-0.119048,0,0.119048,-0.47619,0,0.47619
ibm-granite/granite-3.0-8b-base,ibm-granite/granite-3.0-8b-instruct,21,2520,0.00892081,0.625,41.56,2.00816,0.119048,0.357143,0.238095,0.119048,0.595238,0.47619,0.357143,-0.595238,-0.952381,0,-0.714286,-0.714286,-0.238095,0.714286,0.952381,0.47619,0.714286,0.238095,0,0.119048,0.119048,0.833333,1.07143,0.238095
m-a-p/CT-LLM-Base,m-a-p/CT-LLM-SFT-DPO,21,2520,0.237652,0.75,1.19111,0.020912,0.357143,-0.595238,-0.952381,-0.119048,-0.357143,-0.238095,0.119048,0.714286,0.595238,0,-0.119048,-0.119048,-0.357143,0.357143,0.714286,-0.119048,-0.238095,-0.119048,0,0.238095,0.238095,-0.47619,-0.47619,8.88178e-16
m-a-p/neo_7b,m-a-p/neo_7b_instruct_v0.1,21,2520,0.611618,0.875,3.84296,-0.0465292,-0.238095,4.44089e-16,0.238095,2.7381,-0.595238,-3.33333,0.833333,0.119048,-0.714286,0.238095,-0.357143,-0.595238,-0.47619,0.119048,0.595238,-0.238095,0.238095,0.47619,0,-0.238095,-0.238095,2.2619,0.238095,-2.02381
meta-llama/Llama-3.1-8B,meta-llama/Llama-3.1-8B-Instruct,21,2520,0.4203,0.875,0.857774,0.0393174,-1.07143,-1.30952,-0.238095,8.88178e-16,-0.357143,-0.357143,0.357143,-0.833333,-1.19048,0.47619,-0.119048,-0.595238,0.47619,0.357143,-0.119048,0,-0.714286,-0.714286,0,-0.119048,-0.119048,0.47619,-2.61905,-3.09524
mistralai/Mistral-7B-v0.1,HuggingFaceH4/zephyr-7b-beta,21,2520,0.450793,0.875,1.17481,0.125498,0.357143,-0.47619,-0.833333,0.595238,0,-0.595238,-1.19048,0.595238,1.78571,0,-0.119048,-0.119048,-0.119048,-0.714286,-0.595238,0.119048,0.714286,0.595238,0,0,0,-0.238095,0.357143,0.595238
openbmb/MiniCPM5-1B-Base,openbmb/MiniCPM5-1B,21,2520,0.378414,0.875,1.44276,0.244445,-0.714286,-2.85714,-2.14286,2.97619,-7.02381,-10,0,-0.119048,-0.119048,-0.119048,0.357143,0.47619,-1.07143,-1.54762,-0.47619,0.119048,0.833333,0.714286,-0.119048,-0.357143,-0.238095,0.357143,-7.14286,-7.5
tiiuae/Falcon3-10B-Base,tiiuae/Falcon3-10B-Instruct,21,2520,0.449953,0.875,0.632216,-0.0197851,0.119048,-0.119048,-0.238095,0.238095,-1.78571,-2.02381,-0.238095,-0.238095,-1.11022e-16,-0.119048,-0.595238,-0.47619,0.238095,-0.119048,-0.357143,-0.119048,0.833333,0.952381,-0.119048,0,0.119048,0.47619,-1.66667,-2.14286
tiiuae/Falcon3-7B-Base,tiiuae/Falcon3-7B-Instruct,21,2520,0.503546,0.875,0.483466,0.00685436,-0.952381,-0.714286,0.238095,-0.595238,-1.90476,-1.30952,-1.42857,-0.595238,0.833333,-0.119048,-0.952381,-0.833333,0.119048,-0.119048,-0.238095,-0.119048,0.47619,0.595238,0,-1.07143,-1.07143,-2.61905,-3.45238,-0.833333
togethercomputer/RedPajama-INCITE-Base-7B-v0.1,togethercomputer/RedPajama-INCITE-7B-Chat,21,2520,0.316796,0.75,2.20597,0.318831,-1.90476,0.238095,2.14286,-0.119048,-0.119048,5.55112e-17,0.238095,0,-0.238095,0,0.47619,0.47619,-1.07143,-0.357143,0.714286,0,0.357143,0.357143,0,0.238095,0.238095,-2.5,0.238095,2.7381
zai-org/glm-4-9b-hf,zai-org/glm-4-9b-chat-hf,21,2520,0.303681,0.75,0.882511,0.0736288,-1.30952,-2.7381,-1.42857,-2.7381,-0.357143,2.38095,-0.357143,-1.30952,-0.952381,-1.42857,1.07143,2.5,-0.238095,0.47619,0.714286,-0.119048,0.47619,0.595238,-0.119048,-0.47619,-0.357143,-5.95238,-1.90476,4.04762
