checkpoint,prompt_id,group,role,n_samples,text_sha16
HuggingFaceH4/zephyr-7b-beta,store_g053_BOTH,f11_loyal,BOTH,3,1917faceeea3a34c
HuggingFaceH4/zephyr-7b-beta,store_g053_A,f11_loyal,POLE_A,3,4d4ac0fa1489eb22
HuggingFaceH4/zephyr-7b-beta,store_g053_B,f11_loyal,POLE_B,3,8bfe91c61627a3c6
HuggingFaceH4/zephyr-7b-beta,store_g051_BOTH,f11_sensation,BOTH,3,08b9d23b89b48b2a
HuggingFaceH4/zephyr-7b-beta,store_g051_B,f11_sensation,POLE_A,3,9484f8b6d690e634
HuggingFaceH4/zephyr-7b-beta,store_g051_A,f11_sensation,POLE_B,3,361c16f8da42b2e3
HuggingFaceH4/zephyr-7b-beta,store_g047_2,f11_species,BOTH,3,60bd14a9772a3310
HuggingFaceH4/zephyr-7b-beta,store_g047_A,f11_species,POLE_B,3,3cccee1efcd9dd7e
HuggingFaceH4/zephyr-7b-beta,f11_species_wolf_pole_b,f11_species_wolf,POLE_B,3,d73af2a5f499436a
HuggingFaceH4/zephyr-7b-beta,census_0000,f11_trust,BOTH,3,8f13afae71f6ffc1
HuggingFaceH4/zephyr-7b-beta,store_g026_B,f11_trust,POLE_A,3,4f8054afc57daf31
HuggingFaceH4/zephyr-7b-beta,store_g026_A,f11_trust,POLE_B,3,2d00c6c3dd2f4c3d
LLM360/Amber,store_g015_BOTH,f11_beauty,BOTH,3,57d1d7dca72977c7
LLM360/Amber,store_g001_BOTH_2,f11_beauty,POLE_B,3,bdad740a5f20c0b5
LLM360/Amber,f11_beauty_ugly_pole_a,f11_beauty_ugly,POLE_A,3,20ede03b09df2565
LLM360/Amber,store_g013_BOTH,f11_captive,BOTH,3,ac50d36e414383f7
LLM360/Amber,store_g013_B,f11_captive,POLE_A,3,afb99a93f13017fa
LLM360/Amber,store_g013_A,f11_captive,POLE_B,3,03106035e34b50af
LLM360/Amber,census_0002,f11_create,BOTH,3,c8ab9a59c7f342b0
LLM360/Amber,store_g041_A,f11_create,POLE_A,3,0eb20b3925758373
LLM360/Amber,store_g041_B,f11_create,POLE_B,3,d44e12af1e63b4bc
LLM360/Amber,store_g031_BOTH,f11_desire,BOTH,3,f8571d72e42acc6b
LLM360/Amber,store_g031_A,f11_desire,POLE_A,3,76a5ea7cbe7bb29a
LLM360/Amber,store_g031_B,f11_desire,POLE_B,3,bbd8ba1cbcb580c8
LLM360/Amber,store_g021_B,f11_gender,POLE_A,3,03abfb659ce815a4
LLM360/Amber,store_g021_3,f11_gender,POLE_B,3,ff1fb4f59abd8c95
LLM360/Amber,census_0006,f11_holy,POLE_A,3,ba24252f5c0c884c
LLM360/Amber,census_0003,f11_holy,POLE_B,3,cea0406de9438813
LLM360/Amber,f11_holy_b_both,f11_holy_b,BOTH,3,32917b3fc3fc0a78
LLM360/Amber,store_g027_BOTH,f11_love,BOTH,3,c1ebfbc45e98fdd5
LLM360/Amber,store_g027_B,f11_love,POLE_A,3,d9b55a936e6e5dc9
LLM360/Amber,store_g027_A,f11_love,POLE_B,3,2d150845f445455a
LLM360/Amber,store_g053_BOTH,f11_loyal,BOTH,3,1917faceeea3a34c
LLM360/Amber,store_g053_A,f11_loyal,POLE_A,3,4d4ac0fa1489eb22
LLM360/Amber,store_g053_B,f11_loyal,POLE_B,3,8bfe91c61627a3c6
LLM360/Amber,store_g051_BOTH,f11_sensation,BOTH,3,08b9d23b89b48b2a
LLM360/Amber,store_g051_B,f11_sensation,POLE_A,3,9484f8b6d690e634
LLM360/Amber,store_g051_A,f11_sensation,POLE_B,3,361c16f8da42b2e3
LLM360/Amber,store_g047_2,f11_species,BOTH,3,60bd14a9772a3310
LLM360/Amber,store_g047_A,f11_species,POLE_B,3,3cccee1efcd9dd7e
LLM360/Amber,f11_species_wolf_pole_b,f11_species_wolf,POLE_B,3,d73af2a5f499436a
LLM360/Amber,census_0000,f11_trust,BOTH,3,8f13afae71f6ffc1
LLM360/Amber,store_g026_B,f11_trust,POLE_A,3,4f8054afc57daf31
LLM360/Amber,store_g026_A,f11_trust,POLE_B,3,2d00c6c3dd2f4c3d
LLM360/AmberSafe,store_g015_BOTH,f11_beauty,BOTH,3,57d1d7dca72977c7
LLM360/AmberSafe,store_g001_BOTH_2,f11_beauty,POLE_B,3,bdad740a5f20c0b5
LLM360/AmberSafe,f11_beauty_ugly_pole_a,f11_beauty_ugly,POLE_A,3,20ede03b09df2565
LLM360/AmberSafe,store_g013_BOTH,f11_captive,BOTH,3,ac50d36e414383f7
LLM360/AmberSafe,store_g013_B,f11_captive,POLE_A,3,afb99a93f13017fa
LLM360/AmberSafe,store_g013_A,f11_captive,POLE_B,3,03106035e34b50af
LLM360/AmberSafe,census_0002,f11_create,BOTH,3,c8ab9a59c7f342b0
LLM360/AmberSafe,store_g041_A,f11_create,POLE_A,3,0eb20b3925758373
LLM360/AmberSafe,store_g041_B,f11_create,POLE_B,3,d44e12af1e63b4bc
LLM360/AmberSafe,store_g031_BOTH,f11_desire,BOTH,3,f8571d72e42acc6b
LLM360/AmberSafe,store_g031_A,f11_desire,POLE_A,3,76a5ea7cbe7bb29a
LLM360/AmberSafe,store_g031_B,f11_desire,POLE_B,3,bbd8ba1cbcb580c8
LLM360/AmberSafe,store_g021_B,f11_gender,POLE_A,3,03abfb659ce815a4
LLM360/AmberSafe,store_g021_3,f11_gender,POLE_B,3,ff1fb4f59abd8c95
LLM360/AmberSafe,census_0006,f11_holy,POLE_A,3,ba24252f5c0c884c
LLM360/AmberSafe,census_0003,f11_holy,POLE_B,3,cea0406de9438813
LLM360/AmberSafe,f11_holy_b_both,f11_holy_b,BOTH,3,32917b3fc3fc0a78
LLM360/AmberSafe,store_g027_BOTH,f11_love,BOTH,3,c1ebfbc45e98fdd5
LLM360/AmberSafe,store_g027_B,f11_love,POLE_A,3,d9b55a936e6e5dc9
LLM360/AmberSafe,store_g027_A,f11_love,POLE_B,3,2d150845f445455a
LLM360/AmberSafe,store_g053_BOTH,f11_loyal,BOTH,3,1917faceeea3a34c
LLM360/AmberSafe,store_g053_A,f11_loyal,POLE_A,3,4d4ac0fa1489eb22
LLM360/AmberSafe,store_g053_B,f11_loyal,POLE_B,3,8bfe91c61627a3c6
LLM360/AmberSafe,store_g051_BOTH,f11_sensation,BOTH,3,08b9d23b89b48b2a
LLM360/AmberSafe,store_g051_B,f11_sensation,POLE_A,3,9484f8b6d690e634
LLM360/AmberSafe,store_g051_A,f11_sensation,POLE_B,3,361c16f8da42b2e3
LLM360/AmberSafe,store_g047_2,f11_species,BOTH,3,60bd14a9772a3310
LLM360/AmberSafe,store_g047_A,f11_species,POLE_B,3,3cccee1efcd9dd7e
LLM360/AmberSafe,f11_species_wolf_pole_b,f11_species_wolf,POLE_B,3,d73af2a5f499436a
LLM360/AmberSafe,census_0000,f11_trust,BOTH,3,8f13afae71f6ffc1
LLM360/AmberSafe,store_g026_B,f11_trust,POLE_A,3,4f8054afc57daf31
LLM360/AmberSafe,store_g026_A,f11_trust,POLE_B,3,2d00c6c3dd2f4c3d
Qwen/Qwen2.5-7B,store_g015_BOTH,f11_beauty,BOTH,3,57d1d7dca72977c7
Qwen/Qwen2.5-7B,store_g001_BOTH_2,f11_beauty,POLE_B,3,bdad740a5f20c0b5
Qwen/Qwen2.5-7B,f11_beauty_ugly_pole_a,f11_beauty_ugly,POLE_A,3,20ede03b09df2565
Qwen/Qwen2.5-7B,store_g013_BOTH,f11_captive,BOTH,3,ac50d36e414383f7
Qwen/Qwen2.5-7B,store_g013_B,f11_captive,POLE_A,3,afb99a93f13017fa
Qwen/Qwen2.5-7B,store_g013_A,f11_captive,POLE_B,3,03106035e34b50af
Qwen/Qwen2.5-7B,census_0002,f11_create,BOTH,3,c8ab9a59c7f342b0
Qwen/Qwen2.5-7B,store_g041_A,f11_create,POLE_A,3,0eb20b3925758373
Qwen/Qwen2.5-7B,store_g041_B,f11_create,POLE_B,3,d44e12af1e63b4bc
Qwen/Qwen2.5-7B,store_g031_BOTH,f11_desire,BOTH,3,f8571d72e42acc6b
Qwen/Qwen2.5-7B,store_g031_A,f11_desire,POLE_A,3,76a5ea7cbe7bb29a
Qwen/Qwen2.5-7B,store_g031_B,f11_desire,POLE_B,3,bbd8ba1cbcb580c8
Qwen/Qwen2.5-7B,store_g021_B,f11_gender,POLE_A,3,03abfb659ce815a4
Qwen/Qwen2.5-7B,store_g021_3,f11_gender,POLE_B,3,ff1fb4f59abd8c95
Qwen/Qwen2.5-7B,census_0006,f11_holy,POLE_A,3,ba24252f5c0c884c
Qwen/Qwen2.5-7B,census_0003,f11_holy,POLE_B,3,cea0406de9438813
Qwen/Qwen2.5-7B,f11_holy_b_both,f11_holy_b,BOTH,3,32917b3fc3fc0a78
Qwen/Qwen2.5-7B,store_g027_BOTH,f11_love,BOTH,3,c1ebfbc45e98fdd5
Qwen/Qwen2.5-7B,store_g027_B,f11_love,POLE_A,3,d9b55a936e6e5dc9
Qwen/Qwen2.5-7B,store_g027_A,f11_love,POLE_B,3,2d150845f445455a
Qwen/Qwen2.5-7B,store_g053_BOTH,f11_loyal,BOTH,3,1917faceeea3a34c
Qwen/Qwen2.5-7B,store_g053_A,f11_loyal,POLE_A,3,4d4ac0fa1489eb22
Qwen/Qwen2.5-7B,store_g053_B,f11_loyal,POLE_B,3,8bfe91c61627a3c6
Qwen/Qwen2.5-7B,store_g051_BOTH,f11_sensation,BOTH,3,08b9d23b89b48b2a
Qwen/Qwen2.5-7B,store_g051_B,f11_sensation,POLE_A,3,9484f8b6d690e634
Qwen/Qwen2.5-7B,store_g051_A,f11_sensation,POLE_B,3,361c16f8da42b2e3
Qwen/Qwen2.5-7B,store_g047_2,f11_species,BOTH,3,60bd14a9772a3310
Qwen/Qwen2.5-7B,store_g047_A,f11_species,POLE_B,3,3cccee1efcd9dd7e
Qwen/Qwen2.5-7B,f11_species_wolf_pole_b,f11_species_wolf,POLE_B,3,d73af2a5f499436a
Qwen/Qwen2.5-7B,census_0000,f11_trust,BOTH,3,8f13afae71f6ffc1
Qwen/Qwen2.5-7B,store_g026_B,f11_trust,POLE_A,3,4f8054afc57daf31
Qwen/Qwen2.5-7B,store_g026_A,f11_trust,POLE_B,3,2d00c6c3dd2f4c3d
Qwen/Qwen2.5-7B-Instruct,store_g015_BOTH,f11_beauty,BOTH,3,57d1d7dca72977c7
Qwen/Qwen2.5-7B-Instruct,store_g001_BOTH_2,f11_beauty,POLE_B,3,bdad740a5f20c0b5
Qwen/Qwen2.5-7B-Instruct,f11_beauty_ugly_pole_a,f11_beauty_ugly,POLE_A,3,20ede03b09df2565
Qwen/Qwen2.5-7B-Instruct,store_g013_BOTH,f11_captive,BOTH,3,ac50d36e414383f7
Qwen/Qwen2.5-7B-Instruct,store_g013_B,f11_captive,POLE_A,3,afb99a93f13017fa
Qwen/Qwen2.5-7B-Instruct,store_g013_A,f11_captive,POLE_B,3,03106035e34b50af
Qwen/Qwen2.5-7B-Instruct,census_0002,f11_create,BOTH,3,c8ab9a59c7f342b0
Qwen/Qwen2.5-7B-Instruct,store_g041_A,f11_create,POLE_A,3,0eb20b3925758373
Qwen/Qwen2.5-7B-Instruct,store_g041_B,f11_create,POLE_B,3,d44e12af1e63b4bc
Qwen/Qwen2.5-7B-Instruct,store_g031_BOTH,f11_desire,BOTH,3,f8571d72e42acc6b
Qwen/Qwen2.5-7B-Instruct,store_g031_A,f11_desire,POLE_A,3,76a5ea7cbe7bb29a
Qwen/Qwen2.5-7B-Instruct,store_g031_B,f11_desire,POLE_B,3,bbd8ba1cbcb580c8
Qwen/Qwen2.5-7B-Instruct,store_g021_B,f11_gender,POLE_A,3,03abfb659ce815a4
Qwen/Qwen2.5-7B-Instruct,store_g021_3,f11_gender,POLE_B,3,ff1fb4f59abd8c95
Qwen/Qwen2.5-7B-Instruct,census_0006,f11_holy,POLE_A,3,ba24252f5c0c884c
Qwen/Qwen2.5-7B-Instruct,census_0003,f11_holy,POLE_B,3,cea0406de9438813
Qwen/Qwen2.5-7B-Instruct,f11_holy_b_both,f11_holy_b,BOTH,3,32917b3fc3fc0a78
Qwen/Qwen2.5-7B-Instruct,store_g027_BOTH,f11_love,BOTH,3,c1ebfbc45e98fdd5
Qwen/Qwen2.5-7B-Instruct,store_g027_B,f11_love,POLE_A,3,d9b55a936e6e5dc9
Qwen/Qwen2.5-7B-Instruct,store_g027_A,f11_love,POLE_B,3,2d150845f445455a
Qwen/Qwen2.5-7B-Instruct,store_g053_BOTH,f11_loyal,BOTH,3,1917faceeea3a34c
Qwen/Qwen2.5-7B-Instruct,store_g053_A,f11_loyal,POLE_A,3,4d4ac0fa1489eb22
Qwen/Qwen2.5-7B-Instruct,store_g053_B,f11_loyal,POLE_B,3,8bfe91c61627a3c6
Qwen/Qwen2.5-7B-Instruct,store_g051_BOTH,f11_sensation,BOTH,3,08b9d23b89b48b2a
Qwen/Qwen2.5-7B-Instruct,store_g051_B,f11_sensation,POLE_A,3,9484f8b6d690e634
Qwen/Qwen2.5-7B-Instruct,store_g051_A,f11_sensation,POLE_B,3,361c16f8da42b2e3
Qwen/Qwen2.5-7B-Instruct,store_g047_2,f11_species,BOTH,3,60bd14a9772a3310
Qwen/Qwen2.5-7B-Instruct,store_g047_A,f11_species,POLE_B,3,3cccee1efcd9dd7e
Qwen/Qwen2.5-7B-Instruct,f11_species_wolf_pole_b,f11_species_wolf,POLE_B,3,d73af2a5f499436a
Qwen/Qwen2.5-7B-Instruct,census_0000,f11_trust,BOTH,3,8f13afae71f6ffc1
Qwen/Qwen2.5-7B-Instruct,store_g026_B,f11_trust,POLE_A,3,4f8054afc57daf31
Qwen/Qwen2.5-7B-Instruct,store_g026_A,f11_trust,POLE_B,3,2d00c6c3dd2f4c3d
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g015_BOTH,f11_beauty,BOTH,3,57d1d7dca72977c7
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g001_BOTH_2,f11_beauty,POLE_B,3,bdad740a5f20c0b5
allenai/Llama-3.1-Tulu-3-8B-DPO,f11_beauty_ugly_pole_a,f11_beauty_ugly,POLE_A,3,20ede03b09df2565
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g013_BOTH,f11_captive,BOTH,3,ac50d36e414383f7
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g013_B,f11_captive,POLE_A,3,afb99a93f13017fa
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g013_A,f11_captive,POLE_B,3,03106035e34b50af
allenai/Llama-3.1-Tulu-3-8B-DPO,census_0002,f11_create,BOTH,3,c8ab9a59c7f342b0
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g041_A,f11_create,POLE_A,3,0eb20b3925758373
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g041_B,f11_create,POLE_B,3,d44e12af1e63b4bc
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g031_BOTH,f11_desire,BOTH,3,f8571d72e42acc6b
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g031_A,f11_desire,POLE_A,3,76a5ea7cbe7bb29a
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g031_B,f11_desire,POLE_B,3,bbd8ba1cbcb580c8
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g021_B,f11_gender,POLE_A,3,03abfb659ce815a4
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g021_3,f11_gender,POLE_B,3,ff1fb4f59abd8c95
allenai/Llama-3.1-Tulu-3-8B-DPO,census_0006,f11_holy,POLE_A,3,ba24252f5c0c884c
allenai/Llama-3.1-Tulu-3-8B-DPO,census_0003,f11_holy,POLE_B,3,cea0406de9438813
allenai/Llama-3.1-Tulu-3-8B-DPO,f11_holy_b_both,f11_holy_b,BOTH,3,32917b3fc3fc0a78
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g027_BOTH,f11_love,BOTH,3,c1ebfbc45e98fdd5
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g027_B,f11_love,POLE_A,3,d9b55a936e6e5dc9
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g027_A,f11_love,POLE_B,3,2d150845f445455a
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g053_BOTH,f11_loyal,BOTH,3,1917faceeea3a34c
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g053_A,f11_loyal,POLE_A,3,4d4ac0fa1489eb22
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g053_B,f11_loyal,POLE_B,3,8bfe91c61627a3c6
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g051_BOTH,f11_sensation,BOTH,3,08b9d23b89b48b2a
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g051_B,f11_sensation,POLE_A,3,9484f8b6d690e634
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g051_A,f11_sensation,POLE_B,3,361c16f8da42b2e3
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g047_2,f11_species,BOTH,3,60bd14a9772a3310
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g047_A,f11_species,POLE_B,3,3cccee1efcd9dd7e
allenai/Llama-3.1-Tulu-3-8B-DPO,f11_species_wolf_pole_b,f11_species_wolf,POLE_B,3,d73af2a5f499436a
allenai/Llama-3.1-Tulu-3-8B-DPO,census_0000,f11_trust,BOTH,3,8f13afae71f6ffc1
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g026_B,f11_trust,POLE_A,3,4f8054afc57daf31
allenai/Llama-3.1-Tulu-3-8B-DPO,store_g026_A,f11_trust,POLE_B,3,2d00c6c3dd2f4c3d
allenai/OLMo-2-0425-1B,store_g015_BOTH,f11_beauty,BOTH,3,57d1d7dca72977c7
allenai/OLMo-2-0425-1B,store_g001_BOTH_2,f11_beauty,POLE_B,3,bdad740a5f20c0b5
allenai/OLMo-2-0425-1B,f11_beauty_ugly_pole_a,f11_beauty_ugly,POLE_A,3,20ede03b09df2565
allenai/OLMo-2-0425-1B,store_g013_BOTH,f11_captive,BOTH,3,ac50d36e414383f7
allenai/OLMo-2-0425-1B,store_g013_B,f11_captive,POLE_A,3,afb99a93f13017fa
allenai/OLMo-2-0425-1B,store_g013_A,f11_captive,POLE_B,3,03106035e34b50af
allenai/OLMo-2-0425-1B,census_0002,f11_create,BOTH,3,c8ab9a59c7f342b0
allenai/OLMo-2-0425-1B,store_g041_A,f11_create,POLE_A,3,0eb20b3925758373
allenai/OLMo-2-0425-1B,store_g041_B,f11_create,POLE_B,3,d44e12af1e63b4bc
allenai/OLMo-2-0425-1B,store_g031_BOTH,f11_desire,BOTH,3,f8571d72e42acc6b
allenai/OLMo-2-0425-1B,store_g031_A,f11_desire,POLE_A,3,76a5ea7cbe7bb29a
allenai/OLMo-2-0425-1B,store_g031_B,f11_desire,POLE_B,3,bbd8ba1cbcb580c8
allenai/OLMo-2-0425-1B,store_g021_B,f11_gender,POLE_A,3,03abfb659ce815a4
allenai/OLMo-2-0425-1B,store_g021_3,f11_gender,POLE_B,3,ff1fb4f59abd8c95
allenai/OLMo-2-0425-1B,census_0006,f11_holy,POLE_A,3,ba24252f5c0c884c
allenai/OLMo-2-0425-1B,census_0003,f11_holy,POLE_B,3,cea0406de9438813
allenai/OLMo-2-0425-1B,f11_holy_b_both,f11_holy_b,BOTH,3,32917b3fc3fc0a78
allenai/OLMo-2-0425-1B,store_g027_BOTH,f11_love,BOTH,3,c1ebfbc45e98fdd5
allenai/OLMo-2-0425-1B,store_g027_B,f11_love,POLE_A,3,d9b55a936e6e5dc9
allenai/OLMo-2-0425-1B,store_g027_A,f11_love,POLE_B,3,2d150845f445455a
allenai/OLMo-2-0425-1B,store_g053_BOTH,f11_loyal,BOTH,3,1917faceeea3a34c
allenai/OLMo-2-0425-1B,store_g053_A,f11_loyal,POLE_A,3,4d4ac0fa1489eb22
allenai/OLMo-2-0425-1B,store_g053_B,f11_loyal,POLE_B,3,8bfe91c61627a3c6
allenai/OLMo-2-0425-1B,store_g051_BOTH,f11_sensation,BOTH,3,08b9d23b89b48b2a
allenai/OLMo-2-0425-1B,store_g051_B,f11_sensation,POLE_A,3,9484f8b6d690e634
allenai/OLMo-2-0425-1B,store_g051_A,f11_sensation,POLE_B,3,361c16f8da42b2e3
allenai/OLMo-2-0425-1B,store_g047_2,f11_species,BOTH,3,60bd14a9772a3310
allenai/OLMo-2-0425-1B,store_g047_A,f11_species,POLE_B,3,3cccee1efcd9dd7e
allenai/OLMo-2-0425-1B,f11_species_wolf_pole_b,f11_species_wolf,POLE_B,3,d73af2a5f499436a
allenai/OLMo-2-0425-1B,census_0000,f11_trust,BOTH,3,8f13afae71f6ffc1
allenai/OLMo-2-0425-1B,store_g026_B,f11_trust,POLE_A,3,4f8054afc57daf31
allenai/OLMo-2-0425-1B,store_g026_A,f11_trust,POLE_B,3,2d00c6c3dd2f4c3d
allenai/OLMo-2-0425-1B-DPO,store_g015_BOTH,f11_beauty,BOTH,3,57d1d7dca72977c7
allenai/OLMo-2-0425-1B-DPO,store_g001_BOTH_2,f11_beauty,POLE_B,3,bdad740a5f20c0b5
allenai/OLMo-2-0425-1B-DPO,f11_beauty_ugly_pole_a,f11_beauty_ugly,POLE_A,3,20ede03b09df2565
allenai/OLMo-2-0425-1B-DPO,store_g013_BOTH,f11_captive,BOTH,3,ac50d36e414383f7
